Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51
gorUSNM252578_LM1,0.05241761367981045,0.04731984357779993,0.040635322080263096,0.009147358288810753,-0.04338074396379292,-0.010292852787822946,0.011751459629163371,-0.0027971017439996733,-0.009829200110559993,0.023633035251181655,-0.0030861367848625675,0.014400807301514888,-0.0049943716851460415,-0.029042141172277137,0.0017126381818024713,-0.009441096623910133,0.010567375493467155,0.0176126346422475,-0.01290240990594605,0.008966220000601172,0.01631163540632058,-0.0013434609096452,-0.051268973928680836,-0.02786076975832036,0.008971925039779503,0.009992172166851124,0.03192788864088508,-0.07852982240163953,-0.01821483731142324,0.009898135797549558,0.020362576199686348,0.047493571515532726,-0.018479621905064362,-0.007594956162432076,0.07004222071135822,-0.03462558315564539,0.014017595015694644,-0.010165019488064002,0.04775265807656192,0.08596187487574027,-0.023038522217121684,-0.052635496603734414,0.055388578485359025,0.039889443513019526,6.494674423314839e-05,0.09545135525935468,-0.0369602833479653,-0.023790948638348224,0.11095883077195791,0.1345749068047135,0.07837356670732516
gorUSNM252580_LM1,0.01729453988844514,0.028811735973553965,0.029516780675423855,-0.014435482974822202,-0.019246177199604184,-0.021301532854980414,0.031923296955070624,0.006653423145514992,0.025972216842868275,0.0015732019070315096,0.04159588887236486,0.0261093160075545,-0.009395432141295226,-0.03575734857612622,-0.006557912489105112,-0.0034704839441133542,0.014693090900078566,0.02232740821763376,-0.023659714168395834,0.008384783668135706,0.01730636940062861,-0.019975889895287164,-0.05557775658304239,-0.014151571846619585,0.013353374890065533,0.012064108091112172,0.029088088842329805,-0.07896404219695097,-0.024167786461497323,0.017858264964073074,0.017099709446133864,0.051226711856844895,-0.012425942067065718,-0.012827347773583582,0.06838706110198518,-0.042356914743916896,0.01031380357678098,-0.011557166578154433,0.04949817948112615,0.08793141317253504,-0.01870370962553735,-0.04840504627508018,0.056456334800380883,0.0428533608135936,-0.004801713114370675,0.09273013114155922,-0.03957435922638654,-0.021416808564554655,0.11321050112991521,0.13356330701210692,0.07837356670732507
gorUSNM297857_LM1,0.005479058976354825,0.07106558612953404,-0.025176286389271038,0.008800098822747647,-0.027582210817751897,-0.0055428672052499975,0.04278890510603305,-0.003293316539339096,-0.0006882320060994235,-0.00327442103079343,0.010104743259180461,0.01062155122854564,-0.007073457609395504,-0.03180106891256379,-0.008504208282648487,-0.0017853943122162713,0.015114053464480498,0.007982678795706268,-0.0220671480705587,0.019507204276193124,0.017980164974678046,-0.0132252175417017,-0.04911235549921098,-0.036541038966567865,0.011344784713586128,0.007729465124107182,0.021945474829853116,-0.07659791756777899,-0.02221331751792529,0.01947612054945994,0.02337414891360547,0.04829741268680105,-0.016002674662201965,-0.0021406729597120353,0.06164006964744763,-0.03922000788281386,0.0019166940495681734,-0.01472143717009185,0.05752926826893325,0.08367300015683388,-0.020271546924657314,-0.056357603209600926,0.05856076336588474,0.04100360701584026,-0.0052895135453182515,0.09142895403835513,-0.03875381500318701,-0.025590448012351164,0.11415724760404226,0.13232555457931375,0.07837356670732509
gorUSNM582726_LM1,0.01614104136994351,-0.015597773868010765,-0.057416579403834885,-0.03373401347974376,-0.03429370173098649,-0.042986419778318824,0.012155256659782093,0.02658011579011099,-0.01668325605202435,-0.005191502383955556,0.0187718726740392,0.030231464433661422,-0.0038309097701437955,-0.03318186793557781,-0.0037132965582665056,0.0010082595932417063,0.009457144337709562,0.006706461008855595,-0.029823938969623966,0.0028727922725734303,0.013761966442343163,-0.014879330224164673,-0.04450659803822647,-0.034742530034848486,0.015774421351797522,0.009680373423818112,0.032219130602558474,-0.07607180411380783,-0.02842489839857167,0.014895180871820454,0.018382824925746073,0.04369471766602051,-0.016531946086075548,-0.009651467802328603,0.06122351228413006,-0.038635843074128574,0.017456165258271632,-0.007414453378051489,0.04936478242188395,0.08235622934036277,-0.02316625845270483,-0.054674581140279205,0.05719797528353394,0.04285179902892517,-0.0034156190044348058,0.09309663045178966,-0.04030037759546563,-0.025034285587901342,0.11141634015612342,0.1328064338215019,0.0783735667073251
gorUSNM590942_LM1,0.026931006534860965,0.023255566297001467,0.009134590803095146,-0.024778835474598093,-0.025895151219335683,-0.027474397686287313,0.038699351060655224,-0.0014025511281552288,0.018107722737630352,-0.01305605751817874,0.020196009484412594,0.03074591169135386,-0.0006624296192607295,-0.036143535056859265,-0.0060449236647796625,-0.007045036353764959,0.02217884589529934,-0.0021642813136809745,-0.023552627081600573,0.00950410560377404,0.01956161618862222,-0.009044298519971003,-0.04329150220707054,-0.024978903366382033,0.0051475076993442335,0.01551562965865232,0.0303077537102455,-0.07862068532905381,-0.019612999158143345,0.023818011189317916,0.017424365539620658,0.0430683358343288,-0.0285948091882988,-0.006348841420834151,0.07382141710279198,-0.03809213286796902,0.007399061199862553,-0.009580259441981586,0.04739401793223537,0.08378967941196626,-0.024563354432352635,-0.05246551799776256,0.056227029720527635,0.042351716812202116,-0.001424755542122276,0.09703643336527654,-0.03943683596066435,-0.030665165053785314,0.11415376435573893,0.13510199838172496,0.0783735667073251
gorUSNM590947_LM1,0.055641238574349106,0.04225543113435049,0.051869076769787706,-0.023121211479806968,-0.03294797008511205,-0.037591446790641636,0.0216981752095059,-0.0033504387566367006,-0.000445525490559014,0.014929669742254034,0.018194917674911146,0.0236436896093428,0.007570661518946022,-0.03941984314812517,-0.005998447896262889,-0.0059904631532243,0.02037823151963158,0.0075873593183692824,-0.016634337566229965,0.013124411631781532,0.006124419754136941,-0.024010718520125332,-0.04569739396768766,-0.020104483551294784,0.007403715338898698,-0.003526008187374134,0.03163848861745812,-0.0719582733629369,-0.02111880777464146,0.019825026195207665,0.02241118446674503,0.04603571099195812,-0.01773891232206721,-0.004652921262449576,0.054991179182351496,-0.03679293924664803,0.009279897623878819,-0.012652099184408048,0.05229405252254916,0.08025062366886716,-0.018881662685896777,-0.049785381464948014,0.0528846666537101,0.04294971865453307,9.992235456848146e-05,0.09437079219881514,-0.04416801113658298,-0.02799371675407636,0.11168322522120347,0.13435604161427006,0.07837356670732515
gorUSNM590951_LM1,0.031521613340220786,0.02381848717027742,0.012787782824197099,-0.019507644179863188,-0.045066067280341085,-0.017920580125169283,0.045585466484431035,0.013881654583671002,0.013511512579311208,0.002774518391356639,0.021481686836880717,0.014434101841845987,0.006963987257315955,-0.028542982011801776,-0.010052218011017414,-0.006489152613602626,0.021129618186408815,0.021075209599716562,-0.018124691782268512,0.011050700381555431,0.012615596961437443,-0.0020478315920298643,-0.034358334076777464,-0.02792887740160164,0.008640104003758796,0.0152197550908053,0.03211526834551937,-0.08992558795687568,-0.024483075122109715,0.019871972390503617,0.012900071435802152,0.04926932149337053,-0.016280071185699296,-0.007205975020241594,0.059634395612064156,-0.03604501920252383,0.012926329767402881,-0.01938671822775056,0.04904944571023531,0.08891124127630277,-0.024511551315997235,-0.057631310003671075,0.05376582924034633,0.04205812302460839,-0.0005655867270644302,0.09410859086490352,-0.0456825739066028,-0.02493133619604706,0.11298022534223663,0.1318533135825419,0.07837356670732518
gorUSNM590953_LM1,0.008266878027152414,0.028636682116032222,-0.021622979399341904,-0.013195023637327247,-0.05648055480745918,-0.011067353978763711,0.04457034112330003,-0.017331863452777055,0.010562674281038605,-0.0028730178135830562,0.0043271750748315645,0.02037167676222605,0.0037088763192790752,-0.028880452011842195,-0.018500430552391017,0.00881981463729238,0.017357195007474343,0.02060325675784793,-0.019659448584972258,0.014502707476073877,0.023995591125810633,-0.01351216285198904,-0.05063530794781406,-0.027217104030300122,0.011782014831293753,0.012816808971697324,0.03953671301201324,-0.07512109034885338,-0.029103178843095216,0.018158850381462976,0.011384404206769741,0.0498405773277849,-0.025348572299472488,-0.006777591171487032,0.06279144034936883,-0.03405286480984451,0.013666633251908901,-0.008322980423563022,0.05241630029692563,0.08186537013666718,-0.020426835456497372,-0.049268195061835676,0.05720937327906857,0.04192574638945979,-0.001397163896855987,0.08997228294809488,-0.04364619202235102,-0.02378311058504238,0.11217154272986328,0.13869787501869463,0.07837356670732504
gorUSNM590954_LM1,0.045405639614774444,0.014299496059106239,0.02705798541974364,-0.01801562913899226,-0.057338483620971784,-0.02145338724270488,0.04821419674511328,0.011632466800901282,0.013851906111656282,0.00941586200898608,0.008227570900111137,0.024922509201265996,0.011930166844306724,-0.03513161107328751,-0.013479994948431627,0.00027692916865997236,0.03208450583365299,-0.0028470575873898365,-0.006102181694935064,0.01800603056954106,0.02562256446409975,-0.01163080315305953,-0.0540301866675288,-0.022450594523623503,0.013542609010556298,0.012999632378576003,0.03414643038059255,-0.07126431864015781,-0.025958338938113425,0.018070428899892292,0.019748066606512116,0.0516572783335336,-0.01691312961609823,-0.00404204911355345,0.06182676644519815,-0.04076831824532148,0.013642537144200646,-0.010985875987828918,0.04274024181665458,0.08098022394702799,-0.022464825211317617,-0.0543690307348548,0.06032573371763605,0.0431588544424585,-0.002816381189244733,0.09176969194662143,-0.03872390584778737,-0.024727577327223298,0.11177845624931976,0.12880611799446715,0.07837356670732512
gorUSNM599165_LM1,0.03369985075862164,0.05026533596313287,0.01915403542811764,0.02533938600524815,-0.020890213534818104,-0.028371718452811678,0.0379457894110007,0.007212236676594153,0.0014012784213963945,0.018042364837517956,0.01563924321314741,0.01708659010648741,-0.0015340102515390194,-0.02863547248984026,-0.007490741133650867,0.006152213760780382,0.013537130092588428,-0.0055003578367376765,-0.02597990340024036,0.007857585218340686,0.015138646377832094,-0.012974617827327147,-0.0452778043126416,-0.021621037253039637,0.005809367061119728,0.0055872099791600465,0.03950996727614449,-0.06893042191671227,-0.03345845382545432,0.023749259971751445,0.023050186398590855,0.04718868502455151,-0.017876449853829583,-0.015084333328471696,0.0701251345158435,-0.03570167768666494,0.007593897147632801,-0.013538313805577665,0.049272286118305315,0.08580748785546265,-0.028961083246835346,-0.05583350906087835,0.05838505133302299,0.04315984119975986,-0.001252369672631825,0.09113490745518413,-0.044952397113475775,-0.02284605663144921,0.11260479525881018,0.13415615906653086,0.07837356670732509
